14,4510,13000,15,11115,6363,8678,10989,32644,42236,114,25597
15,4509,13030,15,11115,32185,22023,21914,63002,39447,13307,82436
15,4554,13028,6048,271,25930,34953,11009,30459,36562,36772,105204
7469,4552,10166,22131,11110,30976,43312,447,27011,38760,31804,48375
19428,3050,13068,35085,10974,31816,40007,21916,62980,40956,8230,67757
24473,4552,11416,33307,8273,21600,37716,21519,36027,41457,1920,104798
26032,1545,13068,32399,10986,30162,36256,2812,47797,36035,26233,58056
27178,387,13069,33273,3055,31905,35650,21893,62992,40948,42983,87451
27255,4550,13068,33452,11114,22629,37946,,56308,33451,18933,88448
27258,4212,13069,33286,11055,20944,37983,9846,41179,39812,408,22154
25852,83,13000,30994,7722,31760,38959,21778,52030,40094,14869,81546
23993,4552,13070,33295,10995,31839,41919,12404,62903,38225,41097,121464
24157,4483,13068,32210,3602,31926,39922,414,11007,40329,30340,48163
25978,83,13070,33226,11111,31928,36632,18078,15191,37194,3991,86983
26408,4552,8600,34296,11114,23590,33959,21555,60407,44759,2621,84694
25077,4483,13000,30897,273,31759,30727,3952,47781,37287,28130,31653
23535,4549,12999,29602,11099,29182,35483,3143,42358,39869,42382,81812
24920,4549,13070,33849,11020,31757,42087,21707,52472,37328,17038,103779
27243,4554,13066,32274,10237,31778,41338,19129,22803,36779,266,47945
26386,4552,8674,32800,11117,22324,36056,9583,48259,39883,29,62240
25801,4554,13068,33347,890,31799,34794,21782,51553,41145,1119,129189
14547,4553,12934,33251,10945,9708,36246,12577,24807,43726,27501,67521
,,,34359,11112,21064,33116,13197,32998,38114,44175,75168
,,,34125,248,31756,36812,21901,51644,44773,17662,109633
,,,34012,10996,31761,39819,8838,41220,37175,837,54457
,,,33321,10938,31933,34777,215,33119,40896,23385,77468
,,,33058,9051,31859,34305,21911,42799,42263,44326,84981
,,,33924,11115,22334,34066,21711,41209,40168,21810,36237
,,,32724,2209,31759,35266,7236,61287,37250,291,103909
,,,31199,222,30407,40519,21923,41175,36751,12033,120033
,,,32302,11103,19977,41481,14812,59691,42006,39500,25299
,,,34084,10894,20829,35844,440,62907,39544,32844,47565
,,,34374,9620,1098,32642,16046,44453,45090,5102,92922
,,,33144,11109,31930,32961,21633,41468,39426,135,73270
,,,31917,1729,31861,35178,6194,62951,43476,7811,68295
,,,32004,11107,31778,40126,298,62575,40220,34526,93664
,,,,,,37824,21825,41182,37626,36895,54308
,,,,,,34996,21821,60659,38628,10094,74251
,,,,,,36215,9582,62898,41621,440,118783
,,,,,,35444,21696,43364,41416,640,55096
,,,,,,36289,12200,37320,41555,303,53605
,,,,,,39364,219,62777,42534,5497,90531
,,,,,,39665,15578,25471,36658,26756,72679
,,,,,,33792,21708,40087,45105,39608,55445
,,,,,,32938,6447,62546,37079,18422,98527
,,,,,,35850,455,22698,40078,21,71797
,,,,,,36572,21759,27975,40331,322,80181
,,,,,,39613,21795,41420,40236,888,125854
,,,,,,42643,9326,32731,39910,25554,48970
,,,,,,39930,21592,62594,34325,44105,38565
,,,,,,34600,12700,43604,41556,19209,93311
,,,,,,34242,11013,52008,37491,430,82018
,,,,,,36584,21891,62995,41906,23582,106993
,,,,,,36667,11083,49069,37341,44363,93738
,,,,,,38672,436,48405,35615,20957,14127
,,,,,,42429,21019,24978,35733,182,66901
,,,,,,40908,21717,31906,32418,11978,115838
,,,,,,36901,929,44112,40318,38930,62670
,,,,,,36646,1929,45676,33043,32935,70975
,,,,,,28459,21910,18883,39658,5839,87787
,,,,,,9731,20091,4507,41078,560,57460
,,,,,,10,12658,21768,39011,9558,41413
,,,,,,,,,40915,35069,54446
,,,,,,,,,37532,35547,85124
,,,,,,,,,44276,9855,70452
,,,,,,,,,35776,4483,115040
,,,,,,,,,37735,29993,103882
,,,,,,,,,38201,40445,14678
,,,,,,,,,35588,14501,80875
,,,,,,,,,39313,4700,128916
,,,,,,,,,32060,31065,49456
,,,,,,,,,38909,40514,29082
,,,,,,,,,37445,14133,109261
,,,,,,,,,38296,1804,100611
,,,,,,,,,37679,25374,34880
,,,,,,,,,38076,43384,85036
,,,,,,,,,44718,19752,98601
,,,,,,,,,39634,115,65521
,,,,,,,,,44695,19251,101239
,,,,,,,,,36136,41532,63847
,,,,,,,,,35868,25458,55325
,,,,,,,,,35599,3085,129592
,,,,,,,,,33544,175,74414
,,,,,,,,,42735,14051,81913
,,,,,,,,,36121,40895,99716
,,,,,,,,,41003,30821,45880
,,,,,,,,,39345,3759,102359
,,,,,,,,,39420,588,86219
,,,,,,,,,37893,10614,12069
,,,,,,,,,36340,37035,78361
,,,,,,,,,41525,34425,127084
,,,,,,,,,33125,7513,51086
,,,,,,,,,39890,5088,56515
,,,,,,,,,37878,30533,87051
,,,,,,,,,38068,39776,56621
,,,,,,,,,37496,14275,84414
,,,,,,,,,37635,20,103223
,,,,,,,,,44032,333,42745
,,,,,,,,,35219,430,61302
,,,,,,,,,37858,116,129458
,,,,,,,,,33805,19,68237
,,,,,,,,,34499,219,11794
,,,,,,,,,40663,649,101012
,,,,,,,,,37835,450,112930
,,,,,,,,,44811,20,76248
,,,,,,,,,37553,291,88954
,,,,,,,,,36002,1663,37901
,,,,,,,,,35829,24236,62841
,,,,,,,,,38781,43191,125734
,,,,,,,,,41350,20633,66906
,,,,,,,,,35408,778,44769
,,,,,,,,,44019,21854,85188
,,,,,,,,,34024,44335,54179
,,,,,,,,,37977,23124,67833
,,,,,,,,,35437,431,118944
,,,,,,,,,7853,17145,61652